[2025-06-20 10:02:11.776268] Step: 107     Loss: -0.0000316306    ELBO: -10.6300592739   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:11.925663] Step: 108     Loss: 0.0000979322    ELBO: -10.6301306732   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.073195] Step: 109     Loss: -0.0000153456    ELBO: -10.6300402614   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.221452] Step: 110     Loss: -0.0000098223    ELBO: -10.6300629709   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.365019] Step: 111     Loss: -0.0000065969    ELBO: -10.6300617463   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.515315] Step: 112     Loss: -0.0000019839    ELBO: -10.6300617001   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.667610] Step: 113     Loss: -0.0000013026    ELBO: -10.6300615420   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.818807] Step: 114     Loss: -0.0000015373    ELBO: -10.6300621190   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:12.976646] Step: 115     Loss: -0.0000001912    ELBO: -10.6300618205   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:13.127525] Step: 116     Loss: -0.0000000745    ELBO: -10.6300617715   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:13.333058] Step: 117     Loss: -0.0000000163    ELBO: -10.6300617550   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:13.488574] Step: 118     Loss: -0.0000000487    ELBO: -10.6300617835   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:13.654661] Step: 119     Loss: 0.0000000111    ELBO: -10.6300617881   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:13.821053] Step: 120     Loss: -0.0000000077    ELBO: -10.6300617794   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:13.980173] Step: 121     Loss: 0.0000000085    ELBO: -10.6300617974   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:14.132876] Step: 122     Loss: -0.0000000066    ELBO: -10.6300617593   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:14.528676] Step: 123     Loss: 0.0000000073    ELBO: -10.6300617779   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:14.710364] Step: 124     Loss: -0.0000000169    ELBO: -10.6300617781   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:14.875064] Step: 125     Loss: 0.0000000023    ELBO: -10.6300617842   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.029086] Step: 126     Loss: 0.0000000001    ELBO: -10.6300617782   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.176198] Step: 127     Loss: 0.0000000010    ELBO: -10.6300617802   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.327120] Step: 128     Loss: -0.0000000000    ELBO: -10.6300617800   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.479967] Step: 129     Loss: 0.0000000002    ELBO: -10.6300617799   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.626926] Step: 130     Loss: 0.0000000001    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.770298] Step: 131     Loss: 0.0000000001    ELBO: -10.6300617799   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:15.913948] Step: 132     Loss: 0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.058389] Step: 133     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.207548] Step: 134     Loss: -0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.358934] Step: 135     Loss: 0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.504271] Step: 136     Loss: -0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.648428] Step: 137     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.796005] Step: 138     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:16.951431] Step: 139     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:17.099621] Step: 140     Loss: -0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:17.253296] Step: 141     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:17.407100] Step: 142     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:17.558474] Step: 143     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:17.707535] Step: 144     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:17.873968] Step: 145     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.044849] Step: 146     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.203865] Step: 147     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.357984] Step: 148     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.502065] Step: 149     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.646789] Step: 150     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.791882] Step: 151     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:18.931066] Step: 152     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:19.074974] Step: 153     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:19.220433] Step: 154     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:19.363779] Step: 155     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:19.514070] Step: 156     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:02:19.660203] Step: 157     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
