[2025-06-20 10:05:59.991649] Step: 92      Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.131437] Step: 93      Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.270197] Step: 94      Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.408383] Step: 95      Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.548063] Step: 96      Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.693751] Step: 97      Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.836565] Step: 98      Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:00.978588] Step: 99      Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.115043] Step: 100     Loss: 0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.254002] Step: 101     Loss: -0.0000000000    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.395844] Step: 102     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.534729] Step: 103     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.678501] Step: 104     Loss: 0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.818664] Step: 105     Loss: -0.0000000000    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:01.957156] Step: 106     Loss: 0.0000000001    ELBO: -10.6300617797   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.099417] Step: 107     Loss: -0.0000000001    ELBO: -10.6300617798   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.246272] Step: 108     Loss: 0.0000000001    ELBO: -10.6300617796   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.389305] Step: 109     Loss: -0.0000000001    ELBO: -10.6300617800   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.530532] Step: 110     Loss: 0.0000000001    ELBO: -10.6300617799   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.672085] Step: 111     Loss: -0.0000000002    ELBO: -10.6300617795   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.819641] Step: 112     Loss: 0.0000000002    ELBO: -10.6300617793   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:02.964588] Step: 113     Loss: -0.0000000004    ELBO: -10.6300617804   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.105179] Step: 114     Loss: 0.0000000008    ELBO: -10.6300617796   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.242344] Step: 115     Loss: -0.0000000009    ELBO: -10.6300617811   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.384505] Step: 116     Loss: 0.0000000016    ELBO: -10.6300617783   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.526454] Step: 117     Loss: -0.0000000037    ELBO: -10.6300617821   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.671305] Step: 118     Loss: 0.0000000091    ELBO: -10.6300617675   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.816709] Step: 119     Loss: -0.0000000215    ELBO: -10.6300618138   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:03.960133] Step: 120     Loss: 0.0000000538    ELBO: -10.6300618572   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.101172] Step: 121     Loss: -0.0000001546    ELBO: -10.6300617926   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.245498] Step: 122     Loss: 0.0000004149    ELBO: -10.6300611651   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.387437] Step: 123     Loss: -0.0000004457    ELBO: -10.6300616971   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.536118] Step: 124     Loss: 0.0000005548    ELBO: -10.6300607861   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.681115] Step: 125     Loss: -0.0000009857    ELBO: -10.6300605941   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.825525] Step: 126     Loss: 0.0000013171    ELBO: -10.6300620970   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:04.969770] Step: 127     Loss: -0.0000013118    ELBO: -10.6300615620   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.112861] Step: 128     Loss: 0.0000017626    ELBO: -10.6300588496   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.251647] Step: 129     Loss: -0.0000032263    ELBO: -10.6300605221   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.394630] Step: 130     Loss: 0.0000062994    ELBO: -10.6300684324   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.535305] Step: 131     Loss: -0.0000073196    ELBO: -10.6300778211   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.675035] Step: 132     Loss: 0.0000083581    ELBO: -10.6300441390   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.812150] Step: 133     Loss: -0.0000089408    ELBO: -10.6300213116   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:05.952646] Step: 134     Loss: 0.0000093279    ELBO: -10.6300856695   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:06.094491] Step: 135     Loss: -0.0000081040    ELBO: -10.6300042064   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:06.234833] Step: 136     Loss: -0.0000006456    ELBO: -10.6300374839   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:06.380593] Step: 137     Loss: 0.0000238434    ELBO: -10.6300781786   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
